timestamp,symbol,action,price,amount,trade_value,atr,net_flow,tp_price,sl_price,reason,realized_pnl,actual_balance,effective_balance,sim_mode,sim_equity,sim_total_pnl,regime_signal,mean_adx,market_score
2026-04-23 19:59:34,ETH/USDT:USDT,LONG_ENTRY,2326.91,0.08,186.15,4.3,11757.13,2348.41,2314.01,,,1000.0,1000.0,SIM,1000.0,0.0,2,25.67,0.2338
2026-04-23 20:03:39,ATOM/USDT:USDT,LONG_ENTRY,1.8575999999999997,107.6,199.88,0.0033,2471.55,1.8742,1.8476,,,813.74,813.74481596,SIM,1000.0,0.0,2,26.39,0.2521
2026-04-23 20:03:45,ARB/USDT:USDT,LONG_ENTRY,0.12455,1606.0,200.03,0.0003,2733.16,0.12615,0.12359,,,613.76,613.757123192,SIM,1000.0,0.0,2,26.39,0.2521
2026-04-23 20:04:02,ADA/USDT:USDT,LONG_ENTRY,0.24760000000000001,808.0,200.06,0.0005,15243.95,0.2501,0.2461,,,413.62,413.619808177,SIM,1000.0,0.0,2,26.39,0.2521
2026-04-23 20:06:06,SUI/USDT:USDT,LONG_ENTRY,0.9394,160.0,150.3,0.0022,13467.79,0.9504,0.9328,,,213.45,213.448974737,SIM,213.8312,0.0,2,27.12,0.2354
2026-04-23 20:44:38,ETH/USDT:USDT,LONG_EXIT,2328.42,0.08,,,,,,Momentum Timeout (Stalled Zombie),0.0074,,,SIM,1002.8699,0.0074,,,
2026-04-23 20:46:06,ATOM/USDT:USDT,LONG_EXIT,1.8691,107.6,,,,,,Trail SL (Long IOC Exit),1.2343,,,SIM,1000.404,1.2417,,,
2026-04-23 20:47:42,ARB/USDT:USDT,LONG_EXIT,0.12478,1606.0,,,,,,Trail SL (Long IOC Exit),0.195,,,SIM,1000.2153,1.4367,,,
2026-04-23 20:49:07,ADA/USDT:USDT,LONG_EXIT,0.2473,808.0,,,,,,Momentum Timeout (Stalled Zombie),-0.4331,,,SIM,1000.0886,1.0037,,,
2026-04-23 20:51:11,SUI/USDT:USDT,LONG_EXIT,0.9369,160.0,,,,,,Momentum Timeout (Stalled Zombie),-0.5144,,,SIM,999.9742,0.4892,,,
